id,dur,ip.ttl,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.connection.syn,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,response_body_len,ip.fragment.count,ip.fragments,proto,frame.time_relative,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcprtt,tcp.segments,tcp.reassembled.length,http.request,tcp.port,udp.port,arp.dst.hw_mac,icmp.type,icmp.code,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.push,tcp.flags.urg,arp.duplicate-address-detected,arp.duplicate-address-frame,tcp.analysis.ack_lost_segment,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.spurious_retransmission,icmp,data.len,dtp,vlan.too_many_tags,tcp.analysis.lost_segment,tcp.analysis.retransmission.1,wlan.fc.type_subtype,tcp.connection.fin,tcp.connection.rst,ftp.response.code,arp.opcode,tcp.flags.reset,http.request.method,ct_ftp_cmd,dns.resp.ttl,service,is_ftp_login,ct_srv_src,ct_dst_src_ltm,ct_srv_dst,state,is_sm_ips_ports,attack_cat,sbytes,dbytes,dttl,sttl,spkts,dpkts,stcpb,dtcpb,sintpkt,dintpkt,dloss,sloss,label
40.0,0.000652,48.0,192.254.234.30,192.168.1.109,80.0,49338.0,,,,1500.0,1.0,0,,1514,,,0,5.298995,15744.0,435.0,4762.0,1460.0,0,0,0x0010,,,,,80.0,,,,,0,1.0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,10,10,28,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,4762.0,0.0,0.0,0.0,0.0,1.0
41.0,0.000295,48.0,192.254.234.30,192.168.1.109,80.0,49338.0,,,,1500.0,1.0,0,,1514,,,0,5.29929,15744.0,435.0,6222.0,1460.0,0,0,0x0010,,,,,80.0,,,,,0,1.0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,10,10,28,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,6222.0,0.0,0.0,0.0,0.0,1.0
42.0,4e-06,48.0,192.254.234.30,192.168.1.109,80.0,49338.0,,,,784.0,1.0,0,,798,,,0,5.299294,15744.0,435.0,7682.0,744.0,0,0,0x0018,,,,,80.0,,,,,0,1.0,0,1.0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,10,10,28,,0.0,7.0,798.0,60.0,128.0,48.0,798.0,60.0,0.0,7682.0,5.299294,5.299297,0.0,0.0,1.0
43.0,3e-06,128.0,192.168.1.109,192.254.234.30,49338.0,80.0,,,,40.0,1.0,0,,60,,,0,5.299297,65536.0,7682.0,435.0,0,0,0,0x0010,7e-06,,,,49338.0,,,,,0,1.0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,29,8,7,,0.0,0.0,798.0,60.0,128.0,48.0,798.0,60.0,0.0,435.0,5.299294,5.299297,0.0,0.0,0.0
44.0,0.001631,48.0,192.254.234.30,192.168.1.109,80.0,49338.0,,,,60.0,1.0,0,,74,,,0,5.300928,15744.0,435.0,8426.0,20.0,0,0,0x0018,,1.0,8445.0,,80.0,,,,,0,1.0,0,1.0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,10,10,28,,0.0,0.0,74.0,60.0,128.0,48.0,74.0,60.0,0.0,8426.0,5.300928,5.300938,0.0,0.0,0.0
45.0,1e-05,128.0,192.168.1.109,192.254.234.30,49338.0,80.0,,,,40.0,1.0,0,,60,,,0,5.300938,64768.0,8446.0,435.0,0,0,0,0x0010,1e-05,,,,49338.0,,,,,0,1.0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,29,8,7,,0.0,0.0,74.0,60.0,128.0,48.0,74.0,60.0,0.0,435.0,5.300928,5.300938,60.0,0.0,0.0
46.0,8.19838,128.0,192.168.1.109,176.31.24.102,49359.0,80.0,,,1.0,52.0,1.0,0,,66,,,0,13.499318,8192.0,0,0,0,1.0,0,0x0002,,,,,49359.0,,,,,1.0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,29,5,4,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
47.0,0.057276,128.0,192.168.1.109,62.212.73.98,49361.0,80.0,,,1.0,52.0,1.0,0,,66,,,0,13.556594,8192.0,0,0,0,2.0,0,0x0002,,,,,49361.0,,,,,1.0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,29,26,18,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
48.0,4e-06,128.0,192.168.1.109,62.212.73.98,49363.0,80.0,,,1.0,52.0,1.0,0,,66,,,0,13.556598,8192.0,0,0,0,3.0,0,0x0002,,,,,49363.0,,,,,1.0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,29,26,18,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
49.0,1e-06,128.0,192.168.1.109,62.212.73.98,49362.0,80.0,,,1.0,52.0,1.0,0,,66,,,0,13.556599,8192.0,0,0,0,4.0,0,0x0002,,,,,49362.0,,,,,1.0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,29,26,18,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
50.0,0.000245,128.0,192.168.1.109,62.212.73.98,49364.0,80.0,,,1.0,52.0,1.0,0,,66,,,0,13.556844,8192.0,0,0,0,5.0,0,0x0002,,,,,49364.0,,,,,1.0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,29,26,18,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
51.0,0.000266,128.0,192.168.1.109,62.212.73.98,49365.0,80.0,,,1.0,52.0,1.0,0,,66,,,0,13.55711,8192.0,0,0,0,6.0,0,0x0002,,,,,49365.0,,,,,1.0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,29,26,18,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
52.0,4e-06,128.0,192.168.1.109,62.212.73.98,49366.0,80.0,,,1.0,52.0,1.0,0,,66,,,0,13.557114,8192.0,0,0,0,7.0,0,0x0002,,,,,49366.0,,,,,1.0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,29,26,18,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
53.0,0.109437,46.0,176.31.24.102,192.168.1.109,80.0,49359.0,,,,52.0,1.0,0,,66,,,0,13.666551,5840.0,1.0,0,0,1.0,0,0x0012,0.167233,,,,80.0,,,,,1.0,1.0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,4,5,28,,0.0,0.0,66.0,60.0,128.0,46.0,66.0,60.0,0.0,0,13.666551,13.666561,0.0,0.0,0.0
54.0,1e-05,128.0,192.168.1.109,176.31.24.102,49359.0,80.0,,,,40.0,1.0,0,,60,,,0,13.666561,65536.0,1.0,1.0,0,1.0,0,0x0010,1e-05,,,,49359.0,,,,,0,1.0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,29,5,4,,0.0,0.0,66.0,60.0,128.0,46.0,66.0,60.0,0.0,1.0,13.666551,13.666561,0.0,0.0,0.0
55.0,0.000746,128.0,192.168.1.109,176.31.24.102,49359.0,80.0,,,,359.0,1.0,0,,373,,,0,13.667307,65536.0,1.0,1.0,319.0,1.0,0,0x0018,,,,1.0,49359.0,,,,,0,1.0,0,1.0,0,,,,,,,,,,,,,,,,,0.0,0,GET,0.0,,4.0,0.0,10,5,1,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56.0,0.038437,47.0,62.212.73.98,192.168.1.109,80.0,49361.0,,,,52.0,1.0,0,,66,,,0,13.705744,14600.0,1.0,0,0,2.0,0,0x0012,0.14915,,,,80.0,,,,,1.0,1.0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,14,16,28,,0.0,0.0,66.0,60.0,128.0,47.0,66.0,60.0,0.0,0,13.705744,13.705748,0.0,0.0,0.0
57.0,4e-06,128.0,192.168.1.109,62.212.73.98,49361.0,80.0,,,,40.0,1.0,0,,60,,,0,13.705748,65536.0,1.0,1.0,0,2.0,0,0x0010,4e-06,,,,49361.0,,,,,0,1.0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,29,26,18,,0.0,0.0,66.0,60.0,128.0,47.0,66.0,60.0,0.0,1.0,13.705744,13.705748,0.0,0.0,0.0
